series,seriesLabel,wikipediaPage,image,startTime,follower,score,locations,countries,genres,maleCreatorsCount,femaleCreatorsCount,otherCreatorsCount
http://www.wikidata.org/entity/Q6452765,Kyunki Saas Bhi Kabhi Bahu Thi,https://en.wikipedia.org/wiki/Kyunki_Saas_Bhi_Kabhi_Bahu_Thi,,2000,,,,India,,0,0,0
http://www.wikidata.org/entity/Q6450623,Kyaa Hoga Nimmo Kaa,https://en.wikipedia.org/wiki/Kyaa_Hoga_Nimmo_Kaa,,2006,,,,India,,0,0,0
http://www.wikidata.org/entity/Q6450610,Kya Hadsaa Kya Haqeeqat,https://en.wikipedia.org/wiki/Kya_Hadsaa_Kya_Haqeeqat,,2002,,,,India,,0,0,0
http://www.wikidata.org/entity/Q6444274,Kundali,https://en.wikipedia.org/wiki/Kundali_(TV_series),,2000,,,,India,,0,0,0
http://www.wikidata.org/entity/Q6441486,Kuchh Jhuki Palkain,https://en.wikipedia.org/wiki/Kuchh_Jhuki_Palkain,,2002,,,,India,,0,0,0
http://www.wikidata.org/entity/Q6425987,Kohi Apna Sa,https://en.wikipedia.org/wiki/Kohi_Apna_Sa,,2001,,,,India,,0,0,0
http://www.wikidata.org/entity/Q6403409,Khwaish,https://en.wikipedia.org/wiki/Khwaish,,2007,,,,India,,0,0,0
http://www.wikidata.org/entity/Q6374855,Kasturi,https://en.wikipedia.org/wiki/Kasturi_(2007_TV_series),,2007,,,,India,,1,0,0
http://www.wikidata.org/entity/Q6374053,Kasautii Zindagii Kay,https://en.wikipedia.org/wiki/Kasautii_Zindagii_Kay_(2001_TV_series),,2001,,,,India,,0,0,0
http://www.wikidata.org/entity/Q6368235,Karam Apnaa Apnaa,https://en.wikipedia.org/wiki/Karam_Apnaa_Apnaa,,2006,,,,India,,1,0,0
http://www.wikidata.org/entity/Q6358807,Kammal,https://en.wikipedia.org/wiki/Kammal,,2002,,,,India,,0,0,0
http://www.wikidata.org/entity/Q6348332,Kaisa Ye Pyar Hai,https://en.wikipedia.org/wiki/Kaisa_Ye_Pyar_Hai,,2005,,,,India,,0,0,0
http://www.wikidata.org/entity/Q6346942,Kahiin to Hoga,https://en.wikipedia.org/wiki/Kahiin_to_Hoga,,2003,,,,India,,0,0,0
http://www.wikidata.org/entity/Q6346745,Kahaani Ghar Ghar Kii,https://en.wikipedia.org/wiki/Kahaani_Ghar_Ghar_Kii,,2000,,,,India,,1,0,0
http://www.wikidata.org/entity/Q6344107,Kabhii Sautan Kabhii Sahelii,https://en.wikipedia.org/wiki/Kabhii_Sautan_Kabhii_Sahelii,,2001,,,,India,,0,0,0
http://www.wikidata.org/entity/Q5936580,Hum Paanch,https://en.wikipedia.org/wiki/Hum_Paanch_(TV_series),,1995,,,,India,,0,0,0
http://www.wikidata.org/entity/Q12418888,Kahaani Hamaaray Mahaabhaarat Ki,https://en.wikipedia.org/wiki/Kahaani_Hamaaray_Mahaabhaarat_Ki,,2008,,,,India,soap opera,0,0,0
http://www.wikidata.org/entity/Q6417845,Kitani Mohabbat Hai Season 2,https://en.wikipedia.org/wiki/Kitani_Mohabbat_Hai_season_2,,2010,,,,India,romance novel,0,0,0
http://www.wikidata.org/entity/Q6448651,Kutumb,https://en.wikipedia.org/wiki/Kutumb_(TV_series),,2001,,,,India,drama television series,0,0,0
http://www.wikidata.org/entity/Q7137022,Parichay,https://en.wikipedia.org/wiki/Parichay_%E2%80%93_Nayee_Zindagi_Kay_Sapno_Ka,,2011,,,,India,Indian soap opera,0,0,0
http://www.wikidata.org/entity/Q251800,Kayamath,https://en.wikipedia.org/wiki/Kayamath,,2007,,,,India,Indian soap opera,0,0,0
http://www.wikidata.org/entity/Q7761783,The Rudy and Gogo World Famous Cartoon Show,https://en.wikipedia.org/wiki/The_Rudy_and_Gogo_World_Famous_Cartoon_Show,,1995,,,,United States of America,,1,0,0
http://www.wikidata.org/entity/Q7565063,Soupy Norman,https://en.wikipedia.org/wiki/Soupy_Norman,,2007,,,,Poland,,1,0,0
